user_id,ts,from_domain,type,subject,has_risk_kw,risk_kw
U0001,2025-06-27T02:35:27.201932,work.vn,transaction,Biên lai thanh toán,0,
U0001,2025-07-17T21:06:25.201932,ecom.vn,statement,Cập nhật chính sách,0,
U0001,2025-07-31T08:22:29.201932,promo.vn,promo,Nhắc thanh toán,0,
U0001,2025-08-06T19:55:36.201932,work.vn,promo,Thông báo dịch vụ,0,
U0001,2025-07-05T21:40:21.201932,bank.vn,promo,Xác nhận đơn hàng,0,
U0001,2025-08-15T18:17:56.201932,promo.vn,statement,Khuyến mãi độc quyền,0,
U0001,2025-06-25T19:23:43.201932,work.vn,promo,Mời phỏng vấn,0,
U0001,2025-08-22T07:19:49.201932,bank.vn,promo,Thông báo quá hạn,0,
U0001,2025-07-06T03:19:42.201932,bank.vn,transaction,Cảnh báo công nợ,1,khoản vay
U0001,2025-06-03T16:55:33.201932,promo.vn,transaction,Mời phỏng vấn,0,
U0001,2025-06-15T17:08:25.201932,bank.vn,job,Nhắc thanh toán,0,
U0001,2025-08-14T13:27:29.201932,work.vn,promo,Sao kê tài khoản,0,
U0001,2025-07-09T21:42:10.201932,work.vn,job,Sao kê tài khoản,0,
U0001,2025-06-06T21:23:04.201932,utility.vn,utility,Mời phỏng vấn,0,
U0001,2025-07-18T07:19:30.201932,bank.vn,job,Thông báo dịch vụ,0,
U0001,2025-08-23T06:50:53.201932,bank.vn,transaction,Biên lai thanh toán,0,
U0001,2025-07-15T19:33:55.201932,utility.vn,statement,Thông báo dịch vụ,0,
U0001,2025-07-13T15:12:20.201932,ecom.vn,statement,Cập nhật chính sách,0,
U0001,2025-08-01T11:29:24.201932,ecom.vn,promo,Cập nhật chính sách,0,
U0001,2025-06-05T00:46:13.201932,bank.vn,promo,Xác nhận đơn hàng,0,
U0001,2025-08-22T03:26:58.201932,promo.vn,transaction,Ưu đãi mùa tết,0,
U0001,2025-08-14T23:09:10.201932,telco.vn,promo,Thông báo quá hạn,0,
U0001,2025-07-21T00:31:33.201932,promo.vn,job,Ưu đãi mùa tết,0,
U0001,2025-08-14T07:21:40.201932,bank.vn,utility,Nhắc thanh toán,1,đòi nợ
U0001,2025-08-21T20:19:49.201932,telco.vn,statement,Sao kê tài khoản,0,
U0001,2025-08-16T07:00:55.201932,promo.vn,statement,Biên lai thanh toán,0,
U0001,2025-06-14T00:39:40.201932,utility.vn,transaction,Thông báo quá hạn,0,
U0001,2025-08-06T09:31:39.201932,work.vn,promo,Thông báo dịch vụ,0,
U0001,2025-06-23T16:01:13.201932,promo.vn,promo,Sao kê tài khoản,0,
U0001,2025-08-04T22:16:48.201932,promo.vn,promo,Nhắc thanh toán,0,
U0001,2025-07-24T16:03:43.201932,utility.vn,utility,Cập nhật chính sách,0,
U0001,2025-06-16T02:05:09.201932,ecom.vn,promo,Mời phỏng vấn,0,
U0001,2025-07-05T22:48:09.201932,utility.vn,promo,Sao kê tài khoản,0,
U0001,2025-07-02T22:17:57.201932,telco.vn,transaction,Xác nhận đơn hàng,0,
