user_id,ts,category,amount_vnd,cod,returned
U0001,2025-06-06T07:51:16.021999,gaming,967760,1,0
U0001,2025-08-16T07:17:12.021999,electronics,1067950,0,1
U0001,2025-07-09T03:41:24.021999,home,398382,0,0
U0001,2025-07-08T09:26:38.021999,gaming,1139112,1,1
U0001,2025-08-27T07:55:34.021999,others,371437,1,1
U0001,2025-08-09T09:07:53.021999,grocery,167660,0,1
U0001,2025-06-19T03:05:13.021999,others,551854,1,0
U0001,2025-06-09T12:39:01.021999,electronics,2624307,1,0
U0001,2025-07-06T01:31:20.021999,electronics,945795,0,0
U0001,2025-06-03T18:07:27.021999,beauty,276034,1,0
U0001,2025-07-09T18:43:57.021999,gaming,1063411,0,1
U0001,2025-08-07T08:15:20.021999,home,568010,1,1
U0001,2025-08-18T08:40:36.021999,electronics,2188943,1,0
U0002,2025-07-14T01:59:47.021999,beauty,106897,1,0
U0002,2025-07-26T06:34:33.021999,electronics,1186434,1,0
U0002,2025-07-10T17:46:30.021999,home,625804,1,0
U0002,2025-07-30T12:08:52.021999,gaming,780429,0,1
U0002,2025-06-02T18:44:10.021999,fashion,485462,0,0
U0002,2025-07-25T03:20:46.021999,fashion,242649,1,0
U0002,2025-08-16T02:33:10.021999,grocery,188970,0,0
U0002,2025-08-06T20:45:51.021999,grocery,511248,1,0
U0002,2025-06-13T02:12:10.021999,beauty,636796,0,1
U0002,2025-08-01T10:42:56.021999,others,90034,1,0
U0002,2025-07-02T16:00:49.021999,grocery,201209,1,0
U0002,2025-08-18T16:25:32.021999,gaming,77166,1,0
U0002,2025-06-02T23:52:02.021999,grocery,310418,0,0
U0002,2025-07-20T06:03:03.021999,fashion,405781,1,0
U0002,2025-08-28T15:43:53.021999,fashion,654897,1,0
U0002,2025-07-28T05:34:42.021999,beauty,247211,0,0
U0003,2025-07-27T04:41:41.021999,home,1244330,1,0
U0003,2025-08-25T10:45:52.021999,gaming,818705,0,0
U0003,2025-07-19T07:50:23.021999,home,1123210,0,0
U0003,2025-06-19T17:29:39.021999,electronics,3859664,0,0
U0003,2025-06-12T03:21:21.021999,fashion,228908,1,0
U0003,2025-07-18T18:25:28.021999,others,50000,1,1
U0003,2025-06-30T15:36:20.021999,fashion,690713,0,1
U0003,2025-06-25T01:19:34.021999,gaming,632282,1,0
U0003,2025-06-05T04:35:53.021999,gaming,975781,1,0
U0003,2025-06-27T20:57:34.021999,electronics,1574213,1,1
U0003,2025-07-03T01:07:55.021999,home,50000,1,0
U0003,2025-07-02T12:01:01.021999,grocery,192023,1,1
U0003,2025-06-09T23:39:47.021999,fashion,540517,1,0
U0003,2025-06-05T00:39:06.021999,electronics,1491489,1,0
U0003,2025-08-05T22:15:25.021999,beauty,420648,0,0
U0003,2025-08-14T20:02:24.021999,beauty,517832,0,0
U0004,2025-08-24T19:45:34.021999,others,50000,1,0
U0004,2025-07-24T00:25:13.021999,beauty,412642,0,1
U0004,2025-07-25T13:55:06.021999,electronics,3146313,0,0
U0004,2025-07-23T11:36:37.021999,fashion,50000,1,1
U0004,2025-07-23T06:21:28.021999,fashion,433985,1,0
U0004,2025-06-18T20:06:13.021999,home,1247195,1,1
U0004,2025-08-15T13:25:12.021999,fashion,542054,1,1
U0004,2025-07-20T16:57:04.021999,fashion,346490,1,0
U0004,2025-06-04T02:30:28.021999,home,791239,1,1
U0004,2025-06-06T20:00:48.021999,electronics,2583566,1,0
U0004,2025-08-29T11:40:03.021999,electronics,1624248,1,1
U0004,2025-08-09T15:30:18.021999,beauty,151112,0,0
U0005,2025-06-28T02:24:56.021999,others,322189,1,1
